"code";"code_parent";"description";"layer_no"
"105";"10";"Vervaardiging van zuivelproducten";3
"1051";"105";"Vervaardiging van zuivelproducten (geen consumptie-ijs)";4
"1052";"105";"Vervaardiging van consumptie-ijs";4
"106";"10";"Vervaardiging van meel";3
"1061";"106";"Vervaardiging van meel (geen zetmeel)";4
"1062";"106";"Vervaardiging van zetmeel en zetmeelproducten";4
"107";"10";"Vervaardiging van brood, banketbakkerswerk en deegwaren";3
"1071";"107";"Vervaardiging van brood en vers banketbakkerswerk";4
"1072";"107";"Vervaardiging van beschuit en koekjes en ander houdbaar banketbakkerswerk";4
"1073";"107";"Vervaardiging van deegwaren";4
"108";"10";"Vervaardiging van overige voedingsmiddelen";3
"1081";"108";"Vervaardiging van suiker";4
"1082";"108";"Verwerking van cacao en vervaardiging van chocolade en suikerwerk";4
"10821";"1082";"Verwerking van cacao";5
"10822";"1082";"Vervaardiging van chocolade en suikerwerk";5
"1083";"108";"Verwerking van koffie en thee";4
"1084";"108";"Vervaardiging van specerijen, sauzen en kruiderijen; zoutraffinage";4
"1085";"108";"Vervaardiging van kant-en-klaarmaaltijden en snacks";4
"1086";"108";"Vervaardiging van gehomogeniseerde voedingspreparaten en dieetvoeding";4
"1089";"108";"Vervaardiging van overige voedingsmiddelen (rest)";4
"109";"10";"Vervaardiging van diervoeders";3
"1091";"109";"Vervaardiging van veevoeders";4
"1092";"109";"Vervaardiging van voeders voor huisdieren";4
"110";"11";"Vervaardiging van dranken";3
"1101";"110";"Vervaardiging van sterk alcoholische dranken door distilleren, rectificeren en mengen";4
"1102";"110";"Vervaardiging van wijn uit druiven";4
"1103";"110";"Vervaardiging van cider en van overige vruchtenwijnen";4
"1104";"110";"Vervaardiging van overige niet-gedistilleerde gegiste dranken";4
"1105";"110";"Vervaardiging van bier";4
"1106";"110";"Mouterijen";4
"1107";"110";"Vervaardiging van frisdranken; productie van mineraalwater en overig gebotteld water";4
"120";"12";"Vervaardiging van tabaksproducten";3
"1200";"120";"Vervaardiging van tabaksproducten";4
"131";"13";"Bewerken en spinnen van textielvezels";3
"1310";"131";"Bewerken en spinnen van textielvezels";4
"132";"13";"Weven van textiel";3
"1320";"132";"Weven van textiel";4
"133";"13";"Textielveredeling";3
"1330";"133";"Textielveredeling";4
"139";"13";"Vervaardiging van overige textielproducten";3
"1391";"139";"Vervaardiging van gebreide en gehaakte stoffen";4
"1392";"139";"Vervaardiging van geconfectioneerde artikelen van textiel (geen kleding)";4
"1393";"139";"Vervaardiging van vloerkleden en tapijt";4
"1394";"139";"Vervaardiging van koord, bindgaren, touw en netten";4
