"code";"code_parent";"description";"layer_no"
"49391";"4939";"Ongeregeld besloten busvervoer";5
"49392";"4939";"Streekvervoer per bus, tram en metro";5
"49393";"4939";"Geregeld besloten busvervoer";5
"494";"49";"Goederenvervoer over de weg";3
"4941";"494";"Goederenvervoer over de weg (geen verhuizingen)";4
"4942";"494";"Verhuisvervoer";4
"495";"49";"Transport via pijpleidingen";3
"4950";"495";"Transport via pijpleidingen";4
"501";"50";"Zee- en kustvaart (passagiersvaart en veerdiensten)";3
"5010";"501";"Zee- en kustvaart (passagiersvaart en veerdiensten)";4
"502";"50";"Zee- en kustvaart (vracht-, tank- en sleepvaart)";3
"5020";"502";"Zee- en kustvaart (vracht-, tank- en sleepvaart)";4
"50201";"5020";"Zee- en kustvaart (vracht- en tankvaart; geen sleepvaart)";5
"50202";"5020";"Zee- en kustsleepvaart ";5
"503";"50";"Binnenvaart (passagiersvaart en veerdiensten)";3
"5030";"503";"Binnenvaart (passagiersvaart en veerdiensten)";4
"504";"50";"Binnenvaart (vracht-, tank- en sleepvaart)";3
"5040";"504";"Binnenvaart (vracht-, tank- en sleepvaart)";4
"50401";"5040";"Binnenvaart (vrachtvaart)";5
"50402";"5040";"Binnenvaart (tankvaart) ";5
"50403";"5040";"Binnenvaart (sleep- en duwvaart)";5
"511";"51";"Personenvervoer door de lucht";3
"5110";"511";"Personenvervoer door de lucht";4
"512";"51";"Goederenvervoer door de lucht";3
"5121";"512";"Goederenvervoer door de lucht";4
"521";"52";"Opslag";3
"5210";"521";"Opslag";4
"52101";"5210";"Opslag in tanks";5
"52102";"5210";"Opslag in koelhuizen e.d.";5
"52109";"5210";"Opslag in distributiecentra en overige opslag (niet in tanks, koelhuizen e.d.)";5
"522";"52";"Dienstverlening voor vervoer";3
"5221";"522";"Dienstverlening voor vervoer over land";4
"5222";"522";"Dienstverlening voor vervoer over water";4
"5223";"522";"Dienstverlening voor de luchtvaart";4
"5224";"522";"Laad-, los- en overslagactiviteiten ";4
"52241";"5224";"Laad-, los- en overslagactiviteiten voor zeevaart";5
"52242";"5224";"Laad-, los- en overslagactiviteiten niet voor zeevaart";5
"5229";"522";"Expediteurs, cargadoors en bevrachters; weging en meting";4
"52291";"5229";"Expediteurs, cargadoors, bevrachters en andere tussenpersonen in het goederenvervoer";5
"52292";"5229";"Weging en meting";5
"531";"53";"Nationale post met universele dienstverplichting";3
"5310";"531";"Nationale post met universele dienstverplichting ";4
"532";"53";"Post zonder universele dienstverplichting en koeriers";3
"5320";"532";"Post zonder universele dienstverplichting en koeriers ";4
"53201";"5320";"Post zonder universele dienstverplichting ";5
"53202";"5320";"Koeriers";5
"551";"55";"Hotels e.d.";3
"5510";"551";"Hotels e.d.";4
"55101";"5510";"Hotel-restaurants";5
"55102";"5510";"Hotels (geen hotel-restaurants), pensions en conferentieoorden";5
"552";"55";"Verhuur van vakantiehuisjes en appartementen; jeugdherbergen en vakantiekampen ";3
"5520";"552";"Verhuur van vakantiehuisjes en appartementen; jeugdherbergen en vakantiekampen ";4
"55201";"5520";"Verhuur van vakantiehuisjes en appartementen";5
"55202";"5520";"Jeugdherbergen , vakantiekampen, groepsaccommodaties";5
"553";"55";"Kampeerterreinen";3
"5530";"553";"Kampeerterreinen";4
"559";"55";"Overige logiesverstrekking";3
"5590";"559";"Overige logiesverstrekking";4
"561";"56";"Restaurants, cafetaria's e.d.";3
"5610";"561";"Restaurants, cafetaria's e.d. en ijssalons ";4
"56101";"5610";"Restaurants";5
"56102";"5610";"Fastfoodrestaurants, cafetaria's,  ijssalons, eetkramen e.d.  ";5
"562";"56";"Kantines en catering";3
"5621";"562";"Eventcatering";4
"5629";"562";"Kantines en contractcatering ";4
"563";"56";"CafÃ©s";3
"5630";"563";"CafÃ©s";4
"581";"58";"Uitgeverijen van boeken, tijdschriften e.d.; databanken";3
"5811";"581";"Uitgeverijen van boeken en databanken";4
"5812";"581";"Databanken";4
"5813";"581";"Uitgeverijen van kranten";4
"5814";"581";"Uitgeverijen van tijdschriften";4
"5819";"581";"Overige uitgeverijen (niet van software)";4
"582";"58";"Uitgeverijen van software";3
"5821";"582";"Uitgeverijen van computerspellen";4
"5829";"582";"Overige uitgeverijen van software";4
"591";"59";"Productie en distributie van films en televisieprogramma's";3
"5911";"591";"Productie van films en televisieprogramma's";4
"59111";"5911";"Productie van films (geen televisiefilms)";5
"59112";"5911";"Productie van televisieprogrammaâ€™s";5
"5912";"591";"Facilitaire activiteiten voor film- en televisieproductie";4
"5913";"591";"Distributie van films en televisieproducties";4
"5914";"591";"Bioscopen";4
"592";"59";"Maken en uitgeven van geluidsopnamen ";3
"5920";"592";"Maken en uitgeven van geluidsopnamen ";4
"601";"60";"Radio-omroepen";3
"6010";"601";"Radio-omroepen";4
"602";"60";"Televisieomroepen";3
"6020";"602";"Televisieomroepen";4
"611";"61";"Draadgebonden telecommunicatie";3
"6110";"611";"Draadgebonden telecommunicatie";4
"612";"61";"Draadloze telecommunicatie";3
"6120";"612";"Draadloze telecommunicatie";4
"613";"61";"Telecommunicatie via satelliet";3
"6130";"613";"Telecommunicatie via satelliet";4
"619";"61";"Overige telecommunicatie";3
"6190";"619";"Overige telecommunicatie";4
"620";"62";"Dienstverlenende activiteiten op het gebied van informatietechnologie";3
"6201";"620";"Ontwikkelen, produceren en uitgeven van software";4
"6202";"620";"Advisering op het gebied van informatietechnologie";4
"6203";"620";"Beheer van computerfaciliteiten";4
"6209";"620";"Overige dienstverlenende activiteiten op het gebied van informatietechnologie";4
"631";"63";"Gegevensverwerking, webhosting en aanverwante activiteiten; webportals";3
"6311";"631";"Gegevensverwerking, webhosting en aanverwante activiteiten";4
"6312";"631";"Webportals";4
"639";"63";"Overige dienstverlenende activiteiten op het gebied van informatie";3
"6391";"639";"Persagentschappen";4
"6399";"639";"Overige dienstverlenende activiteiten op het gebied van informatie (rest)";4
"641";"64";"Geldscheppende financiële instellingen";3
"6411";"641";"Centrale banken";4
"6419";"641";"Overige geldscheppende financiële instellingen";4
"64191";"6419";"CoÃ¶peratief georganiseerde banken";5
"64192";"6419";"Effectenkredietinstellingen";5
"64193";"6419";"Spaarbanken";5
"64194";"6419";"Algemene banken";5
"642";"64";"Financiële holdings";3
"6420";"642";"Financiële holdings";4
"643";"64";"Beleggingsinstellingen";3
"6430";"643";"Beleggingsinstellingen";4
"64301";"6430";"Beleggingsinstellingen in financiële activa";5
"64302";"6430";"Beleggingsinstellingen in vaste activa";5
"64303";"6430";"Beleggingsinstellingen met beperkte toetreding";5
"649";"64";"Kredietverstrekking en overige financiële intermediatie";3
"6491";"649";"Financiële lease";4
"6492";"649";"Overige kredietverstrekking";4
"64921";"6492";"Hypotheekbanken en bouwfondsen";5
"64922";"6492";"Volkskredietbanken en commerciële financieringsmaatschappijen";5
"64923";"6492";"Participatiemaatschappijen";5
"64924";"6492";"Wisselmakelaars en overige kredietverstrekking";5
"6499";"649";"Overige financiële intermediatie";4
"651";"65";"Verzekeringen (geen herverzekering)";3
"6511";"651";"Levensverzekeringen (geen herverzekering), naturaverzekeringen en spaarkassen";4
"65111";"6511";"Levensverzekeringen (geen herverzekering) ";5
"65112";"6511";"Naturaverzekeringen ";5
"65113";"6511";"Spaarkassen";5
"6512";"651";"Schadeverzekeringen (geen herverzekering)";4
"652";"65";"Herverzekering";3
"6520";"652";"Herverzekering";4
"653";"65";"Pensioenfondsen";3
"6530";"653";"Pensioenfondsen";4
"65301";"6530";"Bedrijfstakpensioenfondsen";5
"65302";"6530";"Ondernemingspensioenfondsen en -spaarfondsen";5
"65303";"6530";"Beroepspensioenfondsen";5
"65309";"6530";"Overige pensioenfondsen";5
"661";"66";"Financiële bemiddeling, advisering e.d. (niet voor verzekeringen en pensioenfondsen)";3
"6611";"661";"Beheer van financiële markten";4
"6612";"661";"Commissionairs en makelaars in effecten, beleggingsadviseurs e.d.";4
"6619";"661";"Administratiekantoren voor aandelen en obligaties, marketmakers, hypotheek- en krediet-";4
"66191";"6619";"Administratiekantoren voor aandelen en obligaties";5
"66192";"6619";"Marketmakers";5
"66193";"6619";"Hypotheek- en kredietbemiddeling, geldwisselkantoren, bank- en spaaragentschappen e.d.";5
"662";"66";"Dienstverlening op het gebied van verzekeringen en pensioenfondsen";3
"6621";"662";"Risicoanalisten en schadetaxateurs";4
"6622";"662";"Assurantietussenpersonen";4
"6629";"662";"Overige dienstverlening op het gebied van verzekeringen en pensioenfondsen (geen taxateurs en assurantietussenpersonen)";4
"66291";"6629";"Verzekeringsbeurzen";5
"66292";"6629";"Actuariële en pensioenadviesbureaus; beheer en administratie van pensioenvermogens";5
"66293";"6629";"Waarborgfondsen";5
"66299";"6629";"Overige dienstverlening  op het gebied van verzekeringen en pensioenfondsen (rest)";5
"663";"66";"Vermogensbeheer";3
"6630";"663";"Vermogensbeheer";4
"681";"68";"Handel in eigen onroerend goed";3
"6810";"681";"Handel in eigen onroerend goed";4
"682";"68";"Verhuur van onroerend goed";3
"6820";"682";"Verhuur van onroerend goed";4
"68201";"6820";"Woningbouwverenigingen en -stichtingen";5
"68202";"6820";"Gemeentelijke woningbedrijven";5
"68203";"6820";"Verhuur van overige woonruimte";5
"68204";"6820";"Verhuur van onroerend goed (niet van woonruimte)";5
"683";"68";"Bemiddeling in en beheer van onroerend";3
"6831";"683";"Bemiddeling bij handel, huur of verhuur van onroerend goed";4
"6832";"683";"Beheer van onroerend goed";4
"691";"69";"Rechtskundige dienstverlening";3
"6910";"691";"Rechtskundige dienstverlening";4
"69101";"6910";"Advocatenkantoren, bewindvoerders en curatoren ";5
"69102";"6910";"Rechtskundige adviesbureaus";5
"69103";"6910";"Notariskantoren";5
"69104";"6910";"Deurwaarderskantoren";5
"69105";"6910";"Octrooibureaus";5
"692";"69";"Accountancy, belastingadvisering en administratie";3
"6920";"692";"Accountancy, belastingadvisering en administratie";4
"69201";"6920";"Registeraccountants";5
"69202";"6920";"Accountants-administratieconsulenten";5
"69203";"6920";"Boekhoudkantoren ";5
"69204";"6920";"Belastingconsulenten";5
"69209";"6920";"Overige administratiekantoren";5
"701";"70";"Holdings (geen financiële) en concerndiensten binnen eigen concern";3
"7010";"701";"Holdings (geen financiële) en concerndiensten binnen eigen concern";4
"70101";"7010";"Concerndiensten binnen eigen concern";5
"70102";"7010";"Holdings (geen financiële)";5
"702";"70";"Advisering op het gebied van management en bedrijfsvoering";3
"7021";"702";"Public relationsbureaus";4
"7022";"702";"Advisering op het gebied van management en bedrijfsvoering (geen public relations)";4
"70221";"7022";"Organisatieadviesbureaus";5
"70222";"7022";"Advisering op het gebied van management en bedrijfsvoering (geen public relations en organisatieadviesbureaus)";5
"711";"71";"Architecten, ingenieurs en technisch ontwerp en advies";3
"7111";"711";"Architecten ";4
"71111";"7111";"Architecten (geen interieurarchitecten)";5
"71112";"7111";"Interieurarchitecten";5
"7112";"711";"Ingenieurs en overig technisch ontwerp en advies";4
"712";"71";"Keuring en controle";3
"7120";"712";"Keuring en controle ";4
"71201";"7120";"Keuring en controle van agrarische producten en voedingsmiddelen";5
"71202";"7120";"Keuring en controle van machines, apparaten en materialen";5
"71203";"7120";"Overige keuring en controle";5
"721";"72";"Natuurwetenschappelijk speur- en ontwikkelingswerk";3
"7211";"721";"Biotechnologisch speur- en ontwikkelingswerk";4
"72111";"7211";"Biotechnologisch speur- en ontwikkelingswerk op het gebied van agrarische producten en processen";5
"72112";"7211";"Biotechnologisch speur- en ontwikkelingswerk op het gebied van medische producten en farmaceutische processen en van voeding";5
"72113";"7211";"Biotechnologisch speur- en ontwikkelingswerk voor overige toepassingen";5
"7219";"721";"Natuurwetenschappelijk speur- en ontwikkelingswerk (niet biotechnologisch)";4
"72191";"7219";"Speur- en ontwikkelingswerk op het gebied van landbouw en visserij (niet biotechnologisch)";5
"72192";"7219";"Technisch speur- en ontwikkelingswerk";5
"72193";"7219";"Speur- en ontwikkelingswerk op het gebied van gezondheid en voeding (niet biotechnologisch)";5
"72199";"7219";"Overig natuurwetenschappelijk speur- en ontwikkelingswerk (niet biotechnologisch)";5
"722";"72";"Speur- en ontwikkelingswerk op het gebied van de maatschappij- en geesteswetenschappen";3
"7220";"722";"Speur- en ontwikkelingswerk op het gebied van de maatschappij- en geesteswetenschappen";4
"731";"73";"Reclamebureaus en  handel in advertentieruimte en -tijd";3
"7311";"731";"Reclamebureaus";4
"7312";"731";"Handel in advertentieruimte en -tijd";4
"732";"73";"Markt- en opinieonderzoekbureaus";3
"7320";"732";"Markt- en opinieonderzoekbureaus";4
"741";"74";"Industrieel ontwerp en vormgeving";3
"7410";"741";"Industrieel ontwerp en vormgeving";4
"74101";"7410";"Communicatie- en grafisch ontwerp";5
"74102";"7410";"Industrieel en product ontwerp";5
"74103";"7410";"Interieur- en ruimtelijk ontwerp";5
"742";"74";"Fotografie en ontwikkelen van foto's en films";3
"7420";"742";"Fotografie en ontwikkelen van foto's en films";4
"74201";"7420";"Fotografie";5
"74202";"7420";"Ontwikkelwinkels";5
"74203";"7420";"Ontwikkelcentrales";5
"743";"74";"Vertalers en tolken";3
"7430";"743";"Vertalers en tolken";4
"749";"74";"Overige specialistische zakelijke dienstverlening";3
"7490";"749";"Overige specialistische zakelijke dienstverlening";4
"750";"75";"Veterinaire dienstverlening";3
"7500";"750";"Veterinaire dienstverlening";4
"771";"77";"Verhuur en lease van auto's";3
"7711";"771";"Verhuur en lease van personenauto's en lichte bedrijfsauto's";4
"77111";"7711";"Verhuur van personenautoâ€™s en lichte bedrijfsauto's (geen operational lease)";5
"77112";"7711";"Operational lease van personenautoâ€™s en lichte bedrijfsauto's";5
"7712";"771";"Verhuur en lease van vrachtwagens, autobussen, caravans en aanhangwagens";4
"772";"77";"Verhuur van consumentenartikelen";3
"7721";"772";"Verhuur van sport- en recreatieartikelen";4
"7722";"772";"Videotheken";4
"7729";"772";"Verhuur van overige consumentenartikelen";4
"77291";"7729";"Verhuur van leesportefeuilles";5
"77292";"7729";"Verhuur van kleding en huishoudelijke artikelen";5
"77299";"7729";"Verhuur van overige consumentenartikelen (rest) ";5
"773";"77";"Verhuur en lease van machines en werktuigen en van overige goederen";3
"7731";"773";"Verhuur en lease van landbouwmachines en â€‘werktuigen";4
"7732";"773";"Verhuur en lease van machines en installaties voor de bouw";4
"7733";"773";"Verhuur en lease van computers en kantoorapparatuur";4
"7734";"773";"Verhuur en lease van schepen";4
"7735";"773";"Verhuur en lease van vliegtuigen";4
"7739";"773";"Verhuur en lease van overige machines en werktuigen en van overige goederen";4
"77391";"7739";"Verhuur van automaten";5
"77399";"7739";"Verhuur en lease van overige machines en werktuigen en van overige  goederen (geen automaten)";5
"774";"77";"Lease van niet-financiële immateriële activa";3
"7740";"774";"Lease van niet-financiële immateriële activa";4
"781";"78";"Arbeidsbemiddeling";3
"7810";"781";"Arbeidsbemiddeling";4
"782";"78";"Uitzendbureaus, uitleenbureaus en banenpools";3
"7820";"782";"Uitzendbureaus, uitleenbureaus en banenpools";4
"78201";"7820";"Uitzendbureaus ";5
"78202";"7820";"Uitleenbureaus";5
"78203";"7820";"Banenpools (werkgelegenheidsprojecten)";5
"783";"78";"Payrolling (personeelsbeheer)";3
"7830";"783";"Payrolling (personeelsbeheer)";4
"791";"79";"Reisbemiddeling en reisorganisatie";3
"7911";"791";"Reisbemiddeling";4
"7912";"791";"Reisorganisatie";4
"799";"79";"Informatieverstrekking op het gebied van toerisme en reserveringsbureaus";3
"7990";"799";"Informatieverstrekking op het gebied van toerisme en reserveringsbureaus";4
"801";"80";"Particuliere beveiliging ";3
"8010";"801";"Particuliere beveiliging ";4
"802";"80";"Beveiliging via  beveiligingssystemen";3
"8020";"802";"Beveiliging via  beveiligingssystemen";4
"803";"80";"Opsporing";3
"8030";"803";"Opsporing";4
"811";"81";"Facility management";3
"8110";"811";"Facility management";4
"812";"81";"Reiniging";3
"8121";"812";"Interieurreiniging van gebouwen";4
"8122";"812";"Gespecialiseerde reiniging van gebouwen en industriële reiniging";4
"81221";"8122";"Glazenwassers";5
"81222";"8122";"Schoorsteenvegers";5
"81229";"8122";"Overige gespecialiseerde reiniging";5
"8129";"812";"Overige reiniging ";4
"813";"81";"Landschapsverzorging";3
"8130";"813";"Landschapsverzorging";4
"821";"82";"Brede administratieve en secretariële dienstverlening ";3
"8211";"821";"Brede administratieve dienstverlening ";4
"8219";"821";"Secretariële dienstverlening ";4
"822";"82";"Callcenters";3
"8220";"822";"Callcenters";4
"823";"82";"Organiseren van congressen en beurzen";3
"8230";"823";"Organiseren van congressen en beurzen";4
"829";"82";"Overige zakelijke dienstverlening(rest)";3
"8291";"829";"Kredietinformatie- en incassobureaus";4
"8292";"829";"Pakken, sorteren e.d. in loon";4
"8299";"829";"Overige zakelijke dienstverlening (rest)";4
"82991";"8299";"Veilingen van landbouw-, tuinbouw- en visserijproducten";5
"82992";"8299";"Veilingen van huisraad, kunst, antiek, machines e.d. roerende goederen";5
"82999";"8299";"Overige zakelijke dienstverlening (rest) ";5
"841";"84";"Openbaar bestuur";3
"8411";"841";"Algemeen overheidsbestuur";4
"8412";"841";"Openbaar bestuur op het gebied van gezondheidszorg, onderwijs, cultuur en welzijn (geen sociale verzekeringen)";4
"8413";"841";"Openbaar bestuur op het gebied van het bedrijfsleven";4
"842";"84";"Overheidsdiensten";3
"8421";"842";"Buitenlandse zaken";4
"8422";"842";"Defensie";4
"8423";"842";"Justitie";4
"84231";"8423";"Rechtspraak";5
"84232";"8423";"Ministerie van Justitie en gevangeniswezen";5
"8424";"842";"Politie";4
"8425";"842";"Brandweer";4
"843";"84";"Verplichte sociale verzekeringen";3
"8430";"843";"Verplichte sociale verzekeringen";4
"852";"85";"Primair en speciaal onderwijs";3
"8520";"852";"Primair en speciaal onderwijs";4
"85201";"8520";"Basisonderwijs voor leerplichtigen";5
"85202";"8520";"Speciaal basisonderwijs";5
"85203";"8520";"Speciaal onderwijs in expertisecentra";5
"853";"85";"Voortgezet onderwijs";3
"8531";"853";"Algemeen vormend voortgezet onderwijs";4
"85311";"8531";"Havo en vwo";5
"85312";"8531";"Voorbereidend middelbaar beroepsonderwijs";5
"85313";"8531";"Praktijkonderwijs";5
"85314";"8531";"Brede scholengemeenschappen voor voortgezet onderwijs";5
"8532";"853";"Middelbaar beroepsonderwijs en educatie";4
"85321";"8532";"Middelbaar beroepsonderwijs";5
"85322";"8532";"Educatie";5
"85323";"8532";"Middelbaar beroepsonderwijs en educatie (gecombineerd)";5
"854";"85";"Tertiair onderwijs";3
"8541";"854";"Niet-universitair hoger onderwijs";4
"8542";"854";"Universitair hoger onderwijs";4
"855";"85";"Overig onderwijs";3
"8551";"855";"Sport- en recreatieonderwijs";4
"85511";"8551";"Zeil- en surfscholen";5
"85519";"8551";"Overig sport- en recreatieonderwijs";5
"8552";"855";"Cultureel onderwijs ";4
"85521";"8552";"Dansscholen";5
"85522";"8552";"Kunstzinnige vorming van amateurs (geen dansscholen)";5
"8553";"855";"Auto- en motorrijscholen";4
"8559";"855";"Overig onderwijs (rest)";4
"85591";"8559";"Afstandsonderwijs";5
"85592";"8559";"Bedrijfsopleiding en -training";5
"85599";"8559";"Studiebegeleiding, vorming en onderwijs (rest)";5
"856";"85";"Dienstverlening voor het onderwijs";3
"8560";"856";"Dienstverlening voor het onderwijs";4
"861";"86";"Ziekenhuizen en geestelijke gezondheids- en verslavingszorg met overnachting";3
"8610";"861";"Ziekenhuizen en geestelijke gezondheids- en verslavingszorg met overnachting";4
"86101";"8610";"Universitair medische centra ";5
"86102";"8610";"Algemene ziekenhuizen ";5
"86103";"8610";"Categorale ziekenhuizen ";5
"86104";"8610";"Geestelijke gezondheids- en verslavingszorg met overnachting";5
"862";"86";"Medische en tandheelkundige praktijken ";3
"8621";"862";"Praktijken van huisartsen";4
"8622";"862";"Praktijken van medisch specialisten en medische dagbehandelcentra (geen tandheelkunde)";4
"86221";"8622";"Praktijken van medisch specialisten en medische dagbehandelcentra (geen tandheelkunde of psychiatrie)";5
"86222";"8622";"Praktijken van psychiaters en dagbehandelcentra voor geestelijke gezondheids- en verslavingszorg";5
"8623";"862";"Tandartspraktijken";4
"86231";"8623";"Praktijken van tandartsen";5
"86232";"8623";"Praktijken van tandheelkundig specialisten";5
"869";"86";"Paramedische praktijken en overige gezondheidszorg zonder overnachting";3
"8691";"869";"Praktijken van verloskundigen en paramedici";4
"86911";"8691";"Praktijken van verloskundigen";5
"86912";"8691";"Praktijken van fysiotherapeuten";5
"86913";"8691";"Praktijken van psychotherapeuten, psychologen en pedagogen";5
"86919";"8691";"Overige paramedische praktijken (geen fysiotherapie en psychologie) en alternatieve genezers";5
"8692";"869";"Overige aanbieders van gezondheidszorg zonder overnachting en gezondheidsondersteunende diensten";4
"86921";"8692";"Gezondheidscentra";5
"86922";"8692";"Arbobegeleiding en re-integratie";5
"86923";"8692";"Preventieve gezondheidszorg (geen arbobegeleiding)";5
"86924";"8692";"Medische laboratoria, trombosediensten en overig behandelingsondersteunend onderzoek ";5
"86925";"8692";"Ambulancediensten en centrale posten";5
"86929";"8692";"Samenwerkingsorganen op het gebied van gezondheidszorg en overige ";5
"871";"87";"Verpleeghuizen";3
"8710";"871";"Verpleeghuizen";4
"872";"87";"Huizen en dagverblijven voor verstandelijk gehandicapten";3
"8720";"872";"Huizen en dagverblijven voor verstandelijk gehandicapten";4
"873";"87";"Huizen en dagverblijven voor niet-verstandelijk gehandicapten en verzorgingshuizen ";3
"8730";"873";"Huizen en dagverblijven voor niet-verstandelijk gehandicapten en verzorgingshuizen ";4
"87301";"8730";"Huizen en dagverblijven voor niet-verstandelijk gehandicapten ";5
"87302";"8730";"Verzorgingshuizen";5
"879";"87";"Jeugdzorg en maatschappelijke opvang met overnachting";3
"8790";"879";"Jeugdzorg en maatschappelijke opvang met overnachting ";4
"87901";"8790";"Jeugdzorg met overnachting en dagverblijven voor jeugdzorg";5
"87902";"8790";"Maatschappelijk opvang met overnachting ";5
"881";"88";"Maatschappelijke dienstverlening zonder overnachting gericht op ouderen en  gehandicapten";3
"8810";"881";"Maatschappelijke dienstverlening zonder overnachting gericht op ouderen en  gehandicapten ";4
"88101";"8810";"Thuiszorg";5
"88102";"8810";"Welzijnswerk voor ouderen";5
"88103";"8810";"Ondersteuning en begeleiding van gehandicapten";5
"889";"88";"Maatschappelijke dienstverlening zonder overnachting niet specifiek gericht op ouderen en ";3
"8891";"889";"Kinderopvang en peuterspeelzaalwerk";4
"88911";"8891";"Kinderopvang";5
"88912";"8891";"Peuterspeelzaalwerk";5
"8899";"889";"Ambulante jeugdzorg, maatschappelijk werk en advies en lokaal welzijnswerk ";4
"88991";"8899";"Ambulante jeugdzorg";5
"88992";"8899";"Maatschappelijk werk ";5
"88993";"8899";"Lokaal welzijnswerk";5
"88999";"8899";"Overig maatschappelijk advies, gemeenschapshuizen en samenwerkingsorganen op het gebied van";5
"900";"90";"Kunst";3
"9001";"900";"Podiumkunst en -vermaak";4
"90011";"9001";"Beoefening van podiumkunst";5
"90012";"9001";"Producenten van podiumkunst";5
"90013";"9001";"Circus en variété";5
"9002";"900";"Dienstverlening voor uitvoerende kunst";4
"9003";"900";"Schrijven en overige scheppende kunst";4
"9004";"900";"Theaters, schouwburgen en evenementenhallen ";4
"90041";"9004";"Theaters en schouwburgen";5
"90042";"9004";"Evenementenhallen";5
"910";"91";"Culturele uitleencentra, openbare archieven, musea, dieren- en plantentuinen, natuurbehoud";3
"9101";"910";"Culturele uitleencentra en openbare archieven";4
"91011";"9101";"Openbare bibliotheken";5
"91012";"9101";"Kunstuitleencentra";5
"91019";"9101";"Overige culturele uitleencentra en openbare archieven";5
"9102";"910";"Musea, kunstgalerieën en â€“expositieruimten";4
"91021";"9102";"Musea";5
"91022";"9102";"Kunstgalerieën en â€“expositieruimten";5
"9103";"910";"Monumentenzorg";4
"9104";"910";"Dieren- en plantentuinen; natuurbehoud";4
"91041";"9104";"Dieren- en plantentuinen, kinderboerderijen";5
"91042";"9104";"Natuurbehoud";5
"920";"92";"Loterijen en kansspelen";3
"9200";"920";"Loterijen en kansspelen";4
"92001";"9200";"Loterijen en kansspelen (geen amusementsautomaten)";5
"92009";"9200";"Exploitatie van amusements- en speelautomaten";5
"931";"93";"Sport";3
"9311";"931";"Sportaccommodaties";4
"93111";"9311";"Zwembaden";5
"93112";"9311";"Sporthallen, sportzalen en gymzalen";5
"93113";"9311";"Sportvelden";5
"93119";"9311";"Overige sportaccommodaties";5
"9312";"931";"Buitensport";4
"93121";"9312";"Veldvoetbal";5
"93122";"9312";"Veldsport in teamverband (geen voetbal) ";5
"93123";"9312";"Atletiek";5
"93124";"9312";"Tennis";5
"93125";"9312";"Paardensport en maneges";5
"93126";"9312";"Wielersport";5
"93127";"9312";"Auto- en motorsport";5
"93128";"9312";"Wintersport";5
"93129";"9312";"Overige buitensport";5
"9313";"931";"Fitnesscentra";4
"9314";"931";"Binnensport";4
"93141";"9314";"Individuele zaalsport ";5
"93142";"9314";"Zaalsport in teamverband";5
"93143";"9314";"Kracht- en vechtsport";5
"93144";"9314";"Bowlen, kegelen, biljarten e.d.";5
"93145";"9314";"Denksport";5
"93146";"9314";"Sportscholen";5
"93149";"9314";"Overige binnensport en omnisport";5
"9315";"931";"Watersport";4
"93151";"9315";"Zwem- en onderwatersport";5
"93152";"9315";"Roei-, kano-, zeil- en surfsport e.d.";5
"9319";"931";"Overige sportactiviteiten";4
"93191";"9319";"Beroepssportlieden";5
"93192";"9319";"Hengelsport";5
"93193";"9319";"Verzorgen van vistochten";5
"93194";"9319";"Supportersverenigingen (sport)";5
"93195";"9319";"Organiseren van sportevenementen";5
"93196";"9319";"Overkoepelende organen en samenwerkings- en adviesorganen op het gebied van sport";5
"93199";"9319";"Overige sportactiviteiten (rest)";5
"932";"93";"Overige recreatie";3
"9321";"932";"Pret- en themaparken; kermisattracties";4
"93211";"9321";"Pret- en themaparken";5
"93212";"9321";"Kermisattracties";5
"9329";"932";"Overige recreatie (rest)";4
"93291";"9329";"Jachthavens";5
"93299";"9329";"Overige recreatie (rest, geen jachthavens)";5
"941";"94";"Bedrijfs-, werkgevers- en beroepsorganisaties";3
"9411";"941";"Bedrijfs- en werkgeversorganisaties";4
"9412";"941";"Beroepsorganisaties";4
"942";"94";"Werknemersorganisaties";3
"9420";"942";"Werknemersorganisaties";4
"949";"94";"Levensbeschouwelijke en politieke organisaties, belangen- en ideële organisaties, hobbyclubs";3
"9491";"949";"Levensbeschouwelijke organisaties";4
"94911";"9491";"Religieuze organisaties";5
"94919";"9491";"Overige levensbeschouwelijke organisaties";5
"9492";"949";"Politieke organisaties";4
"9499";"949";"Overige belangen- en ideële organisaties; hobbyclubs";4
"94991";"9499";"Gezelligheidsverenigingen";5
"94992";"9499";"Hobbyclubs";5
"94993";"9499";"Steunfondsen (niet op het gebied van welzijnszorg)";5
"94994";"9499";"Vriendenkringen op het gebied van cultuur, fanclubs en overige kunstbevordering";5
"94995";"9499";"Overkoepelende organen en samenwerkings- en adviesorganen (niet op het gebied van gezondheids- en welzijnszorg, sport en recreatie)";5
"94996";"9499";"Overige ideële organisaties (rest)";5
"94997";"9499";"Overige belangenbehartiging (rest)";5
"951";"95";"Reparatie van computers en communicatieapparatuur";3
"9511";"951";"Reparatie van computers en randapparatuur";4
"9512";"951";"Reparatie van communicatieapparatuur";4
"952";"95";"Reparatie van consumentenartikelen (geen computers, communicatieapparatuur, auto's en motorfietsen)";3
"9521";"952";"Reparatie van consumentenelektronica (geen computers)";4
"9522";"952";"Reparatie van elektrische huishoudelijke apparaten ";4
"9523";"952";"Reparatie van schoenen en lederwaren";4
"9524";"952";"Reparatie en stoffering van meubels";4
"9525";"952";"Reparatie van uurwerken en juweliersartikelen";4
"9529";"952";"Reparatie van overige consumentenartikelen";4
